Day,Injury,Location,Type,RPE.Load,Total.Distance,HS.Distance
1,0,,,567.00,6628.00,92.00
2,0,,,0.00,0.00,0.00
3,0,,,672.00,8255.00,864.00
4,0,,,0.00,0.00,0.00
5,0,,,775.00,8029.00,1708.00
6,0,,,669.00,6418.00,1124.00
7,0,,,0.00,0.00,0.00
8,0,,,908.00,5635.00,1233.00
9,0,,,2266.00,12223.00,2897.00
10,0,,,1407.00,6318.00,1581.00
11,0,,,1468.00,7358.00,719.00
12,0,,,899.00,5781.00,1555.00
13,0,,,1371.00,10023.00,1096.00
14,0,,,505.88,5455.00,178.00
15,0,,,1301.00,5761.00,2925.00
16,0,,,1156.00,0.00,0.00
17,0,,,0.00,0.00,0.00
18,0,,,0.00,0.00,0.00
19,0,,,0.00,0.00,0.00
20,0,,,0.00,0.00,0.00
21,0,,,0.00,0.00,0.00
22,0,,,1350.00,8788.00,180.00
23,0,,,0.00,0.00,0.00
24,0,,,1700.00,10026.00,1173.00
25,0,,,0.00,0.00,0.00
26,0,,,1794.00,14193.00,2623.00
27,0,,,669.00,8511.00,90.00
28,0,,,0.00,0.00,0.00
29,0,,,1273.00,13405.00,1787.00
30,0,,,0.00,0.00,0.00
31,0,,,1342.00,11495.00,1054.00
32,0,,,0.00,0.00,0.00
33,0,,,1365.00,16846.00,2163.00
34,0,,,0.00,0.00,0.00
35,0,,,0.00,0.00,0.00
36,0,,,0.00,0.00,0.00
37,0,,,0.00,0.00,0.00
38,0,,,0.00,0.00,0.00
39,0,,,0.00,0.00,0.00
40,0,,,0.00,0.00,0.00
41,0,,,0.00,0.00,0.00
42,0,,,0.00,0.00,0.00
43,0,,,0.00,0.00,0.00
44,0,,,0.00,0.00,0.00
45,0,,,0.00,0.00,0.00
46,0,,,0.00,0.00,0.00
47,0,,,0.00,0.00,0.00
48,0,,,0.00,0.00,0.00
49,0,,,0.00,0.00,0.00
50,0,,,874.00,8788.00,180.00
51,0,,,0.00,0.00,0.00
52,0,,,1365.00,12640.00,1858.00
53,0,,,0.00,0.00,0.00
54,0,,,1110.00,10061.00,696.00
55,0,,,0.00,0.00,0.00
56,0,,,0.00,0.00,0.00
57,0,,,1390.00,13272.00,1583.00
58,0,,,0.00,0.00,0.00
59,0,,,1496.00,11394.00,1973.00
60,0,,,0.00,0.00,0.00
61,0,,,1444.00,13348.00,1860.00
62,0,,,1043.00,7500.00,2315.00
63,0,,,0.00,0.00,0.00
64,0,,,2013.00,13329.00,2786.00
65,0,,,0.00,0.00,0.00
66,0,,,2139.00,13883.00,3115.00
67,0,,,0.00,0.00,0.00
68,0,,,2258.00,12988.00,3329.00
69,0,,,0.00,0.00,0.00
70,0,,,0.00,0.00,0.00
71,0,,,0.00,0.00,0.00
72,0,,,1347.00,8060.00,857.00
73,0,,,0.00,0.00,0.00
74,0,,,1226.00,7813.00,863.00
75,0,,,0.00,0.00,0.00
76,0,,,1394.00,7391.00,689.00
77,0,,,0.00,0.00,0.00
78,0,,,1725.00,13167.00,2099.00
79,0,,,0.00,0.00,0.00
80,0,,,988.00,10884.00,2650.00
81,0,,,0.00,0.00,0.00
82,0,,,986.00,10274.00,2259.00
83,0,,,0.00,0.00,0.00
84,0,,,0.00,0.00,0.00
85,0,,,611.00,4796.00,2205.00
86,0,,,1329.00,7165.00,853.00
87,0,,,0.00,0.00,0.00
88,0,,,1495.00,8711.00,1329.00
89,0,,,390.00,0.00,0.00
90,0,,,196.00,4443.00,252.00
91,0,,,1530.00,12316.00,1530.00
92,0,,,0.00,0.00,0.00
93,0,,,0.00,0.00,0.00
94,0,,,0.00,0.00,0.00
95,0,,,1761.00,12536.00,1791.00
96,0,,,325.00,0.00,0.00
97,0,,,780.00,7056.00,948.00
98,0,,,0.00,0.00,0.00
99,0,,,207.00,3568.00,229.00
100,0,,,0.00,0.00,0.00
101,0,,,0.00,0.00,0.00
102,0,,,412.00,3334.00,0.00
103,0,,,0.00,0.00,0.00
104,0,,,912.00,11891.00,2214.00
105,0,,,0.00,0.00,0.00
106,0,,,1229.00,9078.00,1110.00
107,0,,,0.00,0.00,0.00
108,0,,,973.00,6760.00,990.00
109,0,,,325.00,0.00,0.00
110,0,,,447.00,4002.00,323.00
111,0,,,1678.00,13651.00,1529.00
112,0,,,0.00,0.00,0.00
113,0,,,63.00,1602.00,0.00
114,0,,,630.00,4427.00,719.00
115,0,,,0.00,0.00,0.00
116,0,,,888.00,7306.00,379.00
117,0,,,260.00,0.00,0.00
118,0,,,142.00,4003.00,275.00
